"","abundance","years","lat","long"
"1",59,2013,48.5,-49.5
"2",64,2013,48.5,-48.5
"3",63,2013,48.5,-47.5
"4",65,2013,48.5,-46.5
"5",64,2013,48.5,-45.5
"6",62,2013,48.5,-44.5
"7",60,2013,48.5,-43.5
"8",57,2013,48.5,-42.5
"9",53,2013,48.5,-41.5
"10",47,2013,48.5,-40.5
"11",47,2013,48.5,-39.5
"12",44,2013,48.5,-38.5
"13",51,2013,48.5,-37.5
"14",50,2013,48.5,-36.5
"15",45,2013,48.5,-35.5
"16",49,2013,48.5,-34.5
"17",54,2013,48.5,-33.5
"18",57,2013,48.5,-32.5
"19",62,2013,48.5,-31.5
"20",59,2013,48.5,-30.5
"21",61,2013,48.5,-29.5
"22",59,2013,48.5,-28.5
"23",60,2013,48.5,-27.5
"24",62,2013,48.5,-26.5
"25",61,2013,48.5,-25.5
"26",55,2013,48.5,-24.5
"27",58,2013,48.5,-23.5
"28",60,2013,48.5,-22.5
"29",55,2013,48.5,-21.5
"30",60,2013,48.5,-20.5
"31",61,2013,48.5,-19.5
"32",61,2013,48.5,-18.5
"33",57,2013,48.5,-17.5
"34",57,2013,48.5,-16.5
"35",54,2013,48.5,-15.5
"36",56,2013,48.5,-14.5
"37",54,2013,48.5,-13.5
"38",53,2013,48.5,-12.5
"39",57,2013,48.5,-11.5
"40",59,2013,48.5,-10.5
"41",62,2013,48.5,-9.5
"42",60,2013,48.5,-8.5
"43",58,2013,48.5,-7.5
"44",52,2013,48.5,-6.5
"45",59,2013,48.5,-5.5
"46",53,2013,48.5,-4.5
"47",47,2013,48.5,-3.5
"48",43,2013,48.5,-2.5
"49",46,2013,48.5,-1.5
"50",47,2013,48.5,-0.5
"51",46,2013,48.5,0.5
"52",47,2013,48.5,1.5
"53",43,2013,48.5,2.5
"54",42,2013,48.5,3.5
"55",38,2013,48.5,4.5
"56",35,2013,48.5,5.5
"57",38,2013,48.5,6.5
"58",34,2013,48.5,7.5
"59",26,2013,48.5,8.5
"60",22,2013,48.5,9.5
"61",21,2013,48.5,10.5
"62",14,2013,48.5,11.5
"63",7,2013,48.5,12.5
"64",0,2013,48.5,13.5
"65",9,2013,48.5,14.5
"66",19,2013,48.5,15.5
"67",24,2013,48.5,16.5
"68",23,2013,48.5,17.5
"69",31,2013,48.5,18.5
"70",39,2013,48.5,19.5
"71",43,2013,48.5,20.5
"72",38,2013,48.5,21.5
"73",40,2013,48.5,22.5
"74",46,2013,48.5,23.5
"75",43,2013,48.5,24.5
"76",38,2013,48.5,25.5
"77",27,2013,48.5,26.5
"78",23,2013,48.5,27.5
"79",22,2013,48.5,28.5
"80",20,2013,48.5,29.5
"81",23,2013,48.5,30.5
"82",30,2013,48.5,31.5
"83",35,2013,48.5,32.5
"84",37,2013,48.5,33.5
"85",43,2013,48.5,34.5
"86",47,2013,48.5,35.5
"87",44,2013,48.5,36.5
"88",47,2013,48.5,37.5
"89",49,2013,48.5,38.5
"90",51,2013,48.5,39.5
"91",54,2013,48.5,40.5
"92",53,2013,48.5,41.5
"93",56,2013,48.5,42.5
"94",48,2013,48.5,43.5
"95",39,2013,48.5,44.5
